transaction_amount,transaction_date,merchant_id,customer_id,transaction_type,location,card_type,card_number,is_fraud
691.86,2023-03-30 14:10:05,64452ff2-ff60-4b9c-85ea-c69150d9ba54,1662a6a3-ef18-4ff3-a13e-8de3f772caa3,purchase,New Steven,debit,5390181374667917,1
583.37,2023-04-28 14:41:59,06ebd232-026e-477b-a833-fc47efc3b8be,0173db9f-ab47-4120-a42e-fb59b0ac7f0a,transfer,West Kimbury,debit,5391903517856381,0
571.71,2023-04-07 08:21:44,b329dcf3-c2c7-4b22-97e7-0d963fdd17bc,8dadbee2-dee8-4dc4-823e-5ce216409e64,transfer,Riosborough,debit,5543946598122994,1
44.87,2022-12-18 15:47:03,824fa3db-6e0d-4895-bb0e-da650f47a542,6583b863-5687-4e25-bea8-33e67adbb3d2,purchase,East Catherinehaven,credit,4575251741887005,0
89.75,2023-02-04 12:41:10,47660267-cbdf-4182-90ab-cb81ac87905b,bb117f53-002b-4baf-acb8-f2c795010420,refund,Vincentfurt,debit,5790718561913388,1
980.3,2023-07-05 08:18:22,fed2db7f-3628-4942-a949-37e1a92458a5,eb1bb562-6868-462f-8ba5-c757bcfa81bd,refund,New James,debit,5752819529437752,0
484.35,2022-11-18 15:04:03,82651062-1222-4c09-9fb1-ac591a46121f,29597582-c7d5-4b8c-9f16-99922c39c8d4,purchase,New Stephanie,credit,4282803642138826,0
849.33,2023-01-02 12:32:44,bcb584f0-fc43-4d43-a5f8-2f23c8cdbe54,a5f8e0b7-14c7-4d4d-a92f-52ed26b16802,refund,Amandabury,debit,5464370482770067,1
577.86,2023-08-10 05:58:57,c0f1b422-0da5-4ae0-8f96-1a5922632e3e,65731382-183f-428a-b418-70f4e9166b13,purchase,Brianside,debit,5513765368532678,1
50.18,2023-09-10 00:12:05,7b1a4b8e-748b-4caa-8176-cf6145e99109,e776c3ec-330f-4189-b2e4-4cc158cd4e29,refund,Wagnermouth,debit,5215710101453553,1
45.09,2023-04-01 21:45:44,f08dcc04-e0ed-4398-8012-6f49c1e71446,ae6d800f-ea2c-457b-bca9-b6fe45b0de07,refund,Lake Tylerland,credit,4412646798367046,0
318.61,2023-02-20 18:42:55,15d96b2a-16bf-4ada-8935-b629bacdd255,e11ec6ed-1e60-4de9-9e8b-78936f747212,transfer,Mcdonaldmouth,debit,5316090156759304,1
718.76,2023-07-06 10:32:00,e25b1345-14f0-44dd-88d9-68efbc7f875f,17d61617-cbc2-43af-ac73-24f7becb2d13,purchase,New Davidfort,debit,5128198126119511,1
735.97,2023-02-12 21:06:47,aa8b7040-0629-4d8a-9703-3b2483e9b3c3,2da7256c-0bf8-46ff-833e-8d707ee31f47,purchase,Lake Sandy,debit,5995143885905856,0
787.23,2023-03-25 21:46:06,cbe97f59-bbb9-4c15-8849-8b37ff6387af,ea437eb6-aacb-4fbb-a542-7f55b8330ece,transfer,Lake Joannview,debit,5556103643158191,0
212.44,2023-05-05 01:28:34,f41c2ba1-0fa1-4de1-aa9a-166ffae4fa7a,51c5cf96-c414-466a-be85-67d4b787f8de,refund,Lake Bradleyport,credit,4582210584644175,1
567.64,2023-03-24 00:52:38,4fc1d411-f712-40f9-8991-6d5c6f40da74,3aefca8a-a078-499d-b929-994d720270f7,transfer,Emmamouth,debit,5180170520679735,0
322.2,2022-10-17 15:31:33,4b4cb5ad-e443-4672-8caf-bdcc09f4a2d5,e16a3f4e-5601-47b3-ad24-9f2ae7c2bcd7,refund,North Ritahaven,debit,5300233672327614,0
999.49,2023-01-28 12:43:20,b07f7493-b4d2-4b85-b948-fae713543e03,c97b39ef-5e19-4a24-807b-f34ebb3ef8f3,purchase,East Amanda,credit,4743976182217339,0
516.48,2023-06-17 20:32:11,985fa0f9-10e8-431b-bd67-77a3739b91a6,d6339a58-e91f-4cb2-b1ce-8e139dfa60c1,refund,Rosalesborough,credit,4031052869601072,0
415.77,2023-02-11 09:18:10,13fda215-7d4e-41e1-b507-e3886144b4e2,9687bed4-79ca-454f-9d43-01d4e81735dd,purchase,North George,debit,5834418968357126,1
311.62,2023-03-04 05:57:52,738152d5-7f63-4b4e-9a8e-6f7ccb5ac086,a9948884-39c8-4772-a8d8-5233d9259576,transfer,North Megan,credit,4327000884670562,0
365.78,2023-01-28 05:19:27,af181055-505d-49dd-aeec-26e3dd60f8c5,1a14ee76-9c47-45e1-be39-a6dd462e5e6a,purchase,Chaseshire,debit,5710075774740516,1
687.7,2023-01-21 06:42:37,209e0651-0839-4a6b-b2f9-d1b7b82a2ff2,0da1f13f-b9cc-4f6f-b74f-493b96d55266,purchase,East Wendybury,credit,4556326353285730,1
226.91,2023-01-23 19:52:26,7bcc6f23-d9e9-44fc-9cad-63a4d91a9bc1,514b9146-fe9b-43bc-95e2-10f5c6aa7eda,transfer,Port Georgemouth,debit,5374064498005362,0
589.98,2022-11-13 00:43:46,f858fb58-5743-4425-a7b5-c1a6462753da,2b304540-1b77-4af2-a72c-3ca7c3025c3e,refund,Popeberg,debit,5732814382214757,1
49.15,2023-01-12 13:28:26,426793b1-9555-4137-96bd-8344bdb54a03,94374ae3-46b6-449b-a443-fdff810b035c,purchase,Brittanyhaven,debit,5718683021977683,1
104.39,2023-05-20 07:24:55,fc66457b-3734-4b60-b742-6f4e8b3e35b0,b7dd2472-82f2-41cd-bc07-389985d3e9ab,transfer,North Markhaven,debit,5963675735721798,1
31.52,2022-11-21 12:29:59,a9357751-214d-47a1-b488-2b62dff79f6a,7d048f3b-16c3-44e8-b71b-782c90e0e1e9,refund,Amystad,debit,5790679110922236,0
274.42,2023-06-25 19:48:08,178ba170-b9e0-491e-9448-8dfb9ec45b2e,2003ad52-a07d-4ae3-aae9-b56df8264b3a,refund,North Leon,credit,4058356831239446,1
406.52,2023-01-26 11:32:18,e9c587bc-3282-4e02-a758-62f2922c52b8,ef569740-49f7-4c11-b725-b9648218b3ce,transfer,Clarkebury,credit,4764965245457263,0
551.14,2022-10-26 12:32:41,ae687628-3180-4293-932e-440001df16b0,4eb046f8-02d9-421a-9ffd-1a9dce1d9ca4,refund,Port Deniseshire,credit,4631192335091538,0
462.38,2023-03-11 01:23:18,a3f10921-4ace-4be8-af44-3380e51f8b6c,0cc9e6c7-b106-4e8c-88f9-5be2dbbbd0ad,purchase,Spencerfort,credit,4270459134303038,0
301.15,2022-12-15 13:18:57,fc1e579c-671b-45a8-ba48-30b81def133e,fbe68974-126e-43bc-b261-03a7d83275d4,transfer,East Theresafurt,debit,5874106497900220,1
614.33,2023-08-10 19:41:53,ad05da83-0054-4613-b1c6-118bdaa433bb,f87297f2-c2a2-4693-8ef1-914485a2fa33,refund,Taylorburgh,credit,4200974616460932,1
666.69,2022-12-29 12:46:00,482f9206-38e9-47b7-b2b5-d7c66be7c00d,66bd6ebf-dcd8-4309-9d81-2687bb3dae89,purchase,Christinahaven,credit,4318636467565026,0
349.86,2022-09-25 02:35:38,de255d53-09d4-489f-a537-993016930877,e1b369a7-dbfc-4b9d-8244-ab4ebace21f9,transfer,East Cherylberg,credit,4754008660328695,0
466.57,2022-12-12 04:50:20,e9479c0f-6662-43a4-8276-670c6f0c5000,1cd3c044-491c-48a6-ae2a-9c32d55c503b,transfer,South Cassandra,credit,4335287386222536,1
919.09,2023-06-09 21:22:15,a770747c-df98-4495-bded-8582432f4cb6,961f4ef0-d512-4963-969f-5fe15a58bfdd,transfer,Harrisborough,credit,4332082969147036,0
422.95,2023-05-06 11:13:22,2bbdb2f7-7624-4849-84cd-1d6e8f2f04d8,ace9c368-ed6b-43fe-89e3-9d8dbba8e90f,purchase,East Stevenside,credit,4537667581964887,1
429.91,2023-03-18 00:25:00,9cc63a14-4075-4f89-a691-b82b29e961c2,dcd18aee-87c6-4cd9-8975-9ffd42cb24fb,refund,Joshuahaven,debit,5048413799376751,1
660.27,2023-08-24 13:53:20,ba99583b-db37-4d9f-a18c-eb5dc8a61b10,8875d70c-6777-48a6-ade4-3926d6284d23,transfer,Brownview,credit,4383324703191437,0
932.33,2023-05-29 22:23:05,9a335465-2889-41fc-9a19-3f936e12ab90,e6c6a661-aee6-4165-b9dc-53da56c6479c,transfer,Lloydville,credit,4957580614858012,1
849.71,2023-05-29 00:57:15,ec8885be-6086-4b66-a34b-dd780f982fdf,4bf0595c-e718-4438-9b51-ff0359e985b4,purchase,Port Theresamouth,credit,4932403839210779,1
749.71,2022-10-10 22:35:06,acbc7b3e-585a-490e-8435-e7d8432381a7,a4904aaf-d909-4f71-aa11-84cac43922ed,refund,Madelineport,debit,5393158934983362,1
228.77,2023-04-07 08:22:24,917697ef-1939-4024-bd1b-bd7a12fba32c,87fe0fd3-0dd4-4184-91f1-1c6b6ce0ac68,purchase,Eddieshire,debit,5883092914974484,0
105.42,2023-02-28 23:31:03,90dda724-ee28-4163-a297-0232b078f0de,d395845c-e6b1-4e84-b7f7-84cb695fc420,transfer,North Martinmouth,debit,5131922969029121,0
722.77,2023-05-25 09:48:52,1b54d5a2-d294-49d2-b5cb-e22c85ba3b51,e5e2623d-c1d2-4d38-a9cf-8524976ce619,refund,New Sabrina,credit,4813117883649543,1
766.32,2023-03-14 05:13:25,e0f9aa31-e45c-445c-a8bb-0a11f880a667,c3761f59-143a-4602-b0cf-918a849788ee,transfer,North Hannahville,debit,5177383196664941,0
665.02,2023-04-10 19:44:18,807df859-9998-4536-95ca-436e42455d57,195c5aaa-a3d0-4144-be8b-35c28d1fed44,purchase,South Brenda,debit,5670570235378498,1
385.21,2022-10-12 03:21:30,8e0908b3-23c4-421d-9fc0-abb2c7a7fe3a,1b535ec8-c225-42dd-ba9c-d0f1bca2f9aa,transfer,Amandahaven,credit,4174873901237094,0
644.11,2023-03-25 14:55:43,beb0f6bc-27c4-4783-a2a0-351cfb8a2f50,fb9b61ce-d930-43eb-87a3-2cabcb410e88,transfer,Schultzshire,debit,5118169475858671,1
947.43,2022-11-19 09:48:46,626f7ebf-4fc5-4f63-bf31-00e123da8a4b,b5deb677-7010-4710-ab84-178a44d3e072,refund,Lake Christinefort,debit,5554820839871862,0
402.22,2023-07-11 16:26:26,440dff2a-e502-467a-a81c-6d5a5709a5ec,a4d5dd93-9574-4395-b9ec-b1deac1215a6,refund,West Katherinehaven,credit,4216025374492186,1
658.52,2023-04-08 13:04:23,dfecd1c1-12dd-4af5-ad87-6dfb117bab63,99bb90fa-f1a1-411f-a0ff-caca219f6863,purchase,Port Edwin,credit,4779956214799665,1
957.42,2023-04-26 18:13:06,21e22b36-6d26-49bd-8882-a4a9d0603d27,b86906c7-028e-4bc4-89a9-d7be625e574e,refund,Vanessaland,debit,5161100541754673,0
598.38,2023-03-23 04:38:11,d09f2845-6733-4f39-aff8-8b3a490faa19,1258911e-cd51-4aae-9886-255aaec1bca4,purchase,Jessicamouth,debit,5808664903986995,0
996.0,2022-11-03 18:37:58,61f72b96-d0a5-4cac-a282-4b368e86bc06,f99f1213-f8a7-4645-8221-a9c39c11e20d,refund,West Andrew,debit,5470252023943327,1
277.08,2022-12-13 09:51:27,fa6a2747-2036-4a21-a90d-52d8c9675f93,b2f3f598-cbb6-4bc5-9040-9729fd0b4249,purchase,Smithbury,credit,4661166848069292,0
69.84,2022-11-30 16:30:42,03104ba5-abdb-413f-ab13-adaea2ab20d9,588ef8b8-6989-4e66-8196-8492f2ec9f94,refund,Ethanborough,credit,4326211801473684,1
849.71,2023-09-19 06:03:17,0018ef6b-a3a6-4219-adea-85a4a5449d0a,80a08520-7e56-46d7-b94b-8746cd34a9b0,purchase,Roseborough,debit,5516508483812520,1
168.77,2023-01-25 12:29:45,c0b5e615-e6de-4541-9db0-2a0b8ecf78da,edc8bb5b-5eaf-4bea-92f3-88d71ac474d5,transfer,Kempborough,credit,4222343242680235,1
796.04,2022-11-18 22:09:26,9e61ac86-35d1-41e9-bfff-12d6f7f8a36e,413dffec-17f9-4e7b-81f8-7eba834e5d64,transfer,Terriland,credit,4306527041153201,1
939.58,2023-09-14 16:54:32,a3b1f0d4-6446-43d4-8063-5a6a99031059,8efb2a04-de78-4fdc-b7a6-abb3ff1b0611,transfer,Lake Sarafort,credit,4547016814436624,0
844.48,2022-12-09 19:05:44,f6c0c314-f118-4362-b8e2-4037c8a228fb,a4a51d81-3e42-4e30-ac68-b42d07b7319c,purchase,East Colleen,credit,4889153453262132,1
783.95,2022-10-15 07:59:48,3afe64f5-942c-420d-b693-50300ec2e751,7d4b8c5d-3ce7-43fb-bd4a-4ebf942142be,purchase,East Carlchester,debit,5416945373052359,0
877.83,2023-05-05 04:51:02,aa202eba-9802-441c-b9d6-d6aaa40aa0d1,2ac9c8ed-e12a-4636-af4b-68a0f9c5b515,refund,North Lonnie,credit,4969402153379234,1
353.68,2022-09-26 21:53:19,580d2330-abc3-4acc-a8f7-b056c7841390,8f6a7d82-a712-4ca9-b483-b11f08e21066,purchase,Lake Joshuaport,debit,5228659526946896,1
53.01,2023-07-14 11:54:08,b3fa3620-f3f8-4764-9a8b-42bb8d635872,261a5718-80e0-4095-a4c5-f560134bc636,transfer,Sydneyview,debit,5493831010619738,0
248.69,2022-12-17 09:53:12,c5945759-e701-43a1-8885-0b0dafc43a48,60272740-afad-4c3f-bda1-e04e55254fcf,refund,East Patriciastad,credit,4274139003461630,1
841.05,2022-11-09 13:36:40,bf5bb4f0-3022-4759-a50c-125f8b0c8ead,6e0c31c1-189f-4ee8-97f0-8bf4fa2ed61f,purchase,Copelandberg,debit,5251038702905779,0
332.75,2022-12-31 10:39:57,14f95054-2689-4af6-bd47-8e38a804243d,9d07f183-0e2c-4551-baa7-56c2639006db,transfer,Mcintyrechester,credit,4487355756330174,0
571.2,2023-01-24 12:55:51,0356b139-f2d5-4ba7-bfbc-e03cc4ade62e,f1c148e6-3cb9-43a7-bf6d-2f5571bd5de4,transfer,Olsonfort,debit,5301159488775530,1
393.4,2022-11-19 00:11:17,65e5b6c5-bf5e-466d-819b-0c6d63bb7dfd,817bb773-4559-4bdf-9e94-00d4341bc26a,transfer,West Victoria,debit,5057374771228512,1
301.28,2023-06-16 03:16:00,8f6d40ee-f34d-444e-acbf-e8c287f5472c,28d01ea5-12a6-4ecf-8b0c-72c9c1165d1b,refund,Phyllisstad,credit,4384113370261041,0
414.01,2023-06-28 19:18:21,2d327e0f-2c8a-4f1f-89fe-329d690a1632,76a41f1d-ad9e-4e84-a742-086125147d0d,purchase,Benjaminton,credit,4028529110045769,1
894.93,2022-11-25 23:27:49,44492528-df7b-499c-8ba3-d19743d7615f,74de399c-265d-4f19-a036-ba2e62e28bc4,purchase,West David,debit,5339884957605326,1
758.49,2023-09-13 21:45:05,e1646ce4-ceb9-4cf4-9b7f-e30c029e1709,e99b6674-46c6-4fa7-9b8a-c3f5f7d221f0,refund,West Tonystad,credit,4435718792061920,0
943.53,2022-10-30 12:05:09,4821b7f2-b02a-45cc-b805-343f06115c30,284bd928-6dca-4576-b90c-6f09bae21f8b,refund,Teresabury,debit,5629053561046879,1
261.73,2022-11-02 22:07:19,2578106b-8924-4e62-8cb4-e09a378461d5,8cd11280-7dec-4dab-87a5-0672e9e33f6c,transfer,Garciaborough,debit,5860204929925286,1
761.84,2023-03-23 19:30:08,49fac32a-0de4-449a-a91a-37651dc228b7,6f07ee4d-feef-4986-867b-dbc17f609aee,transfer,West Nicoleburgh,debit,5280932461232249,1
706.72,2023-09-10 00:44:21,9e2122f3-f4fd-47f0-a375-b79202b951a9,1cb72957-7ca3-4d13-bd6e-09e04efdb821,purchase,South Timothy,debit,5436230519316957,0
427.68,2023-04-24 09:23:34,f51d4bcf-41f2-4b8f-90bd-5eb4625cf8c0,001e9490-17d2-4e38-a030-3dad4a98a78c,purchase,Lake David,debit,5054003347429045,1
372.26,2023-06-18 12:26:14,4a589675-6849-436e-b7a6-bc77802ad311,951223a6-17bf-47af-8ffd-3ec980522707,refund,North Jesseburgh,credit,4412289077656022,1
487.91,2022-11-24 05:20:50,c16a495e-c896-4ba9-8f66-8f976a4f7b86,c26dd0dc-ef9f-4abd-94dc-ace9b27c9543,refund,Baileyton,debit,5500641182195693,0
175.08,2023-03-26 19:05:16,92eae8d6-b447-4864-8233-c1069273803c,cf69aa93-c2de-4685-8f05-819ffbef6e4e,purchase,Websterview,debit,5801684022440690,0
831.72,2023-08-09 14:26:30,bd569dc4-5d98-4844-baab-d7b8c31802a0,5e6a697c-6386-4d9f-8fb0-e6bb53b6c7f0,transfer,Stonefurt,credit,4949228524047204,0
489.32,2023-04-19 15:31:53,f3cec444-4d99-4ed1-a5cc-94d40bd8ec26,92d25066-deba-4df7-8ff5-98f15a156e1f,refund,Thomastown,debit,5001788444853563,1
687.91,2022-10-20 11:02:44,f7ed4fa6-3761-456d-8848-f27bb6f440fc,3a3a99ac-b574-491b-a8c4-c0e06fd3f24d,refund,West Michael,credit,4009474434505227,0
665.02,2023-05-19 23:34:20,99b92a7e-114e-415b-83fe-a57192001a87,6478f0fa-527f-4c03-9123-8c8abe7dfd70,refund,West Alicia,credit,4520312355485955,1
452.39,2023-03-29 00:16:51,54a69d23-d61c-4826-9627-ebb9154bf24c,983dfc8b-af26-4d7f-bd95-ec86ddaf8f4b,refund,South Mike,credit,4350765838716052,1
933.68,2023-05-04 00:42:29,26945ff4-fdcc-4799-8677-279706677cac,a46eba6d-0c05-4a9b-86f1-7fbcbee673c4,purchase,East David,credit,4799588053721213,0
